Apartment_id,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
1,18-05-2022,2,10000,1100,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,13-05-2022,2,20000,800,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,16-05-2022,2,17000,1000,1 out of 3,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
4,04-07-2022,2,10000,800,1 out of 2,Super Area,Dumdum Park,Kolkata,,Bachelors/Family,1,Contact Owner
5,09-05-2022,2,7500,850,1 out of 2,Carpet Area,South Dum Dum,Kolkata,Unfurnished,Bachelors,1,Contact Owner
6,29-04-2022,2,7000,600,Ground out of 1,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
7,21-06-2022,2,10000,700,Ground out of 4,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,2,Contact Agent
8,21-06-2022,1,5000,250,1 out of 2,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,1,Contact Agent
9,07-06-2022,2,26000,,1 out of 2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2,Contact Agent
10,20-06-2022,2,10000,1000,1 out of 3,Carpet Area,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
11,23-05-2022,3,25000,1200,1 out of 4,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
12,07-06-2022,1,5000,400,1 out of 1,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
13,14-05-2022,1,6500,250,1 out of 4,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1,Contact Owner
14,09-05-2022,1,5500,375,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
15,05-05-2022,3,8500,900,Ground out of 2,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2,Contact Owner
16,01-06-2022,3,40000,1286,1 out of 1,Carpet Area,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
17,17-05-2022,2,6000,600,1 out of 2,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
18,20-06-2022,2,10000,800,Ground out of 2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
19,09-06-2022,2,11000,2000,Ground out of 3,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
20,09-06-2022,2,6000,660,1 out of 2,Super Area,Behala,Kolkata,,Bachelors/Family,1,Contact Owner
21,02-07-2022,2,7900,650,1 out of 2,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1,Contact Owner
22,14-06-2022,2,9000,400,2 out of 3,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2,Contact Owner
23,15-06-2022,1,4000,300,Ground out of 4,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
24,15-06-2022,3,6500,,Ground out of 2,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
25,28-05-2022,1,8000,400,1 out of 2,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
26,22-05-2022,2,7000,1000,1 out of 1,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
27,18-06-2022,1,5300,355,1 out of 1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
28,25-06-2022,2,6000,1000,Ground out of 3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
29,22-06-2022,2,8500,800,4 out of 5,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
30,25-06-2022,2,12500,850,Ground out of 2,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
31,21-05-2022,1,7500,350,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
32,26-06-2022,2,15000,900,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
33,16-06-2022,2,6000,550,1 out of 1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
34,29-06-2022,2,5000,500,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
35,10-05-2022,3,22000,1100,2 out of 3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
36,12-05-2022,2,15000,850,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
37,03-06-2022,2,12500,,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,unknown,1,Contact Agent
38,31-05-2022,2,7000,630,Ground out of 3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
39,10-06-2022,2,21000,900,1 out of 2,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
40,24-06-2022,1,10000,270,1 out of 2,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
41,29-06-2022,2,7200,630,Ground out of 1,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
42,12-05-2022,3,12000,1500,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner
43,26-06-2022,1,5000,600,2 out of 5,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
44,30-04-2022,2,8500,700,4 out of 14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
45,27-05-2022,1,6000,300,Ground out of 3,Super Area,Ballygunge,Kolkata,,Bachelors/Family,1,Contact Owner
46,06-06-2022,2,10000,1300,Ground out of 1,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner
47,20-05-2022,2,4600,400,3 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
48,02-07-2022,2,12000,650,Ground out of 1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner
49,26-05-2022,3,30000,2000,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
50,12-05-2022,3,15000,1068,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
51,22-06-2022,1,7500,150,1 out of 1,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
52,25-06-2022,1,7500,450,2 out of 2,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner
53,03-07-2022,2,5000,800,Ground out of 1,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
54,23-04-2022,2,15000,1000,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
55,14-05-2022,2,11000,900,5 out of 5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
56,27-05-2022,1,7000,600,Ground out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
57,19-06-2022,2,6000,1200,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
58,19-06-2022,2,6000,1200,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
59,02-07-2022,2,7000,650,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
60,06-07-2022,2,8500,720,4 out of 4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
61,02-07-2022,1,5000,300,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,unknown,1,Contact Owner
62,21-06-2022,3,30000,1200,Ground out of 2,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
63,04-06-2022,2,10000,700,7 out of 8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
64,24-06-2022,3,30000,2000,1 out of 3,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
65,14-05-2022,1,3500,250,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
66,26-06-2022,2,8000,1100,Ground out of 3,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
67,02-07-2022,1,5000,300,Ground out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
