tenant_id,Apartment_id,rating
1,2731,10
1,2762,9
1,2479,6
1,43,10
2,2652,9
2,483,10
2,2736,9
2,2741,10
3,2020,10
3,1666,7
3,2636,8
3,2500,7
4,492,8
4,2064,7
4,483,9
5,2790,9
5,599,9
5,2581,7
6,1651,7
6,2464,9
6,2102,7
7,2303,6
7,2074,7
8,363,10
8,1736,7
8,388,10
9,1760,8
9,2056,9
9,324,7
9,1939,10
10,125,7
10,2604,9
10,1653,9
11,2217,9
11,423,7
11,2569,10
11,322,10
12,2500,9
12,2654,10
12,2222,10
13,189,
13,60,8
13,1851,10
14,1517,8
14,7,7
14,1976,9
14,1193,7
15,1921,9
15,69,7
15,2481,7
16,1929,7
16,1765,9
16,1575,10
16,1536,10
17,1631,10
17,244,9
17,222,8
17,2349,9
18,258,10
18,107,10
18,1843,9
18,1615,9
18,1594,6
19,1976,9
19,2108,
19,1689,
19,1706,6
20,520,9
20,1620,6
21,278,8
21,117,6
21,1415,10
22,491,7
22,1985,10
22,77,9
23,2531,10
23,316,7
23,1740,9
23,395,9
24,797,8
24,2299,7
24,1633,9
25,204,9
25,766,6
25,17,7
26,1791,10
26,2394,10
26,1893,9
26,2732,9
26,2310,10
27,221,7
27,1880,9
27,1115,9
27,1971,9
28,2268,9
28,410,8
28,2448,6
28,1583,8
29,2209,10
29,7,7
29,1516,9
30,2658,9
30,2648,8
30,2084,9
30,1742,7
31,163,6
31,227,8
31,359,8
31,34,8
32,56,6
32,45,7
32,402,9
33,151,9
33,354,9
33,399,7
33,489,7
34,247,10
34,766,10
34,67,7
35,265,7
35,357,9
35,370,
36,69,10
36,270,9
36,152,
36,445,9
37,130,10
37,268,6
37,53,10
38,365,8
38,313,9
38,453,8
38,57,10
39,220,10
39,443,7
39,239,10
40,27,8
40,93,
40,469,9
41,136,6
41,117,9
42,473,7
42,130,8
42,319,10
43,466,8
43,85,8
43,226,10
43,228,6
43,151,9
44,482,9
44,204,10
44,853,10
45,329,9
45,353,9
45,197,6
45,456,7
46,274,7
46,370,8
46,160,10
47,511,8
47,47,10
47,415,6
48,147,9
48,341,9
49,351,9
49,412,8
49,96,7
50,132,9
50,473,10
50,139,8
50,456,6
51,866,8
51,1254,9
51,2107,8
52,1822,8
52,2410,10
52,2132,8
52,123,8
53,249,8
53,2115,10
53,2460,9
53,336,9
53,1703,9
54,752,9
54,2792,7
54,2045,9
55,1522,10
55,249,10
55,1548,7
55,155,9
56,1696,9
56,2084,10
56,2447,9
56,365,10
57,2718,8
57,368,8
57,1355,
57,2743,7
58,938,10
58,31,8
58,2250,10
58,372,8
59,206,9
59,40,7
59,92,9
60,1505,9
60,1973,7
60,1765,10
